,HOP_TOTAL_AMOUNT_USD_BRIDGED,BSC_AGE_DAY,BSC_TX_COUNT,TOTAL_SWAP_AMOUNT_USD,AVERAGE_SWAP_AMOUNT_USD_PER_TX,MEDIAN_SWAP_AMOUNT_USD_PER_TX,UNISWAP_SWAP_VOLUME,CURVE_SWAP_VOLUME,OTHER_SWAP_VOLUME,SWAP_DAYS_ACTIVE,SWAP_TX_COUNT,ETH_AGE_DAY,ETH_TX_COUNT,AVALANCHE_AGE_DAY,AVALANCHE_TX_COUNT,OPTIMISM_AGE_DAY,OPTIMISM_TX_COUNT,ARBITRUM_AGE_DAY,ARBITRUM_TX_COUNT,POLYGON_AGE_DAY,POLYGON_TX_COUNT,TOTAL_AMOUNT_USD_BRIDGED,ETH_AMOUNT_USD_BRIDGED,OPTIMISM_AMOUNT_USD_BRIDGED,ARBITRUM_AMOUNT_USD_BRIDGED,AVALANCHE_AMOUNT_USD_BRIDGED,BSC_AMOUNT_USD_BRIDGED,POLYGON_AMOUNT_USD_BRIDGED,BRIDGES_USED
HOP_TOTAL_AMOUNT_USD_BRIDGED,1.0,0.002110331064281349,0.0007926297781427312,0.05821262264325916,0.01216229044597534,0.00872306283365158,0.030377551358532096,0.06966476827136453,0.03295027522798298,0.032779980856889046,0.005131507580222192,0.01779615001970289,0.004527711420005296,0.008114588114177694,0.0013252777423699918,0.025149330143332534,0.010753459810580634,0.02086350039936279,0.015522238440080813,0.01223909709740063,0.005828191447462374,0.1671380438387633,0.1723513932491548,0.21355331716072126,0.08320208497719221,0.04491561003316877,0.11285174562227007,0.0825536577435551,0.03819619839215013
BSC_AGE_DAY,0.002110331064281349,1.0,0.047161948404489,0.014691767849030127,-0.0027250461501616115,-0.005501656861384266,0.014449879920778631,0.007121436288550299,0.016727638625340737,0.3706423338061069,0.030765044452472873,0.46760476119666455,0.0007909028284775368,0.42624777686136367,0.02690744046592881,0.2341881825056194,0.006811218869214869,0.19950981356334582,0.010143557211211665,0.5656696109515088,0.04046128821204151,0.01246276510844959,0.008266983581200735,0.010123859185940989,0.007303972413143998,0.01268516864035841,0.014911462892295052,0.011792622293863143,0.2884815929635028
BSC_TX_COUNT,0.0007926297781427312,0.047161948404489,1.0,0.004676607853249794,-2.7352196413352723e-05,-0.00018102952252097593,0.0035826584953372,0.002089260727202484,0.006940586593400701,0.04793405476573855,0.08113140795197878,0.02574951593854979,0.1892297241478333,0.030088082045664134,0.4483717594690227,0.010496685651577685,0.2225801577399506,0.010125402065513565,0.322533405575942,0.030895819203394757,0.3717731731303003,0.004939999616030842,0.002492782543816931,0.007316071187367204,0.004659974291939064,0.004863635772263592,0.008273932446052871,0.004228825912097904,0.021999744695956815
TOTAL_SWAP_AMOUNT_USD,0.05821262264325916,0.014691767849030127,0.004676607853249794,1.0,0.10876601680148246,0.059846849345978316,0.7576148900397677,0.8415239726464631,0.8445756702332863,0.1272183009212378,0.20358048724640457,0.033911745983474545,0.013745178768333222,0.02542261309462368,0.055499339065610685,0.019067803088015603,0.020578812865833136,0.012828412847982902,0.007798884878611413,0.0177420353825873,0.048629847164466514,0.2747834305673235,0.3030581895492768,0.07343991276506971,0.12941216299334304,0.16827852011086203,0.140566546437366,0.07798162654334401,0.034849681693673126
AVERAGE_SWAP_AMOUNT_USD_PER_TX,0.01216229044597534,-0.0027250461501616115,-2.7352196413352723e-05,0.10876601680148246,1.0,0.9438357519388644,0.0381769215966542,0.15114202447810343,0.05117317270780426,0.0125057493779256,0.001332721173176722,0.020845154576545916,0.0005045682315196515,0.005183754983948356,0.00046364188829678063,-0.003017291474550347,-0.0002944025802552498,-0.002318183402455157,-0.00018441011870924245,-0.007727219121744969,-0.0005966280192249702,0.1324971576658977,0.1733713233127635,0.024870162121039707,0.024718391111439846,0.024700189041436543,0.04618010368585009,0.012347477122151722,0.007235226138906244
MEDIAN_SWAP_AMOUNT_USD_PER_TX,0.00872306283365158,-0.005501656861384266,-0.00018102952252097593,0.059846849345978316,0.9438357519388644,1.0,0.01692835964396505,0.08766285991833624,0.02604922395097834,0.0005399078123848549,0.00018000947778710544,0.008747723794825817,3.9610930624289255e-05,-0.002373854867803798,-0.0002554275615948778,-0.006249165190226626,-0.00027020403695036455,-0.004217079817815325,-0.0002093421505133385,-0.010821977123859797,-0.0007024643203328919,0.07851056236617564,0.1013987054938178,0.010782785093078921,0.011900702164670575,0.012396380474953972,0.03835747846978888,0.006026374379850871,-0.00010227985781838337
UNISWAP_SWAP_VOLUME,0.030377551358532096,0.014449879920778631,0.0035826584953372,0.7576148900397677,0.0381769215966542,0.01692835964396505,1.0,0.3514099162843022,0.5570501959527895,0.12731380410401089,0.25478457159249013,0.03817478784839863,0.019084928355136564,0.022288402157118425,0.05760847130722481,0.018769182806606895,0.01831270314336227,0.012326289657452128,0.007737488521371947,0.0164156009812027,0.0389237890879221,0.10993832628942651,0.11766103559450468,0.034878143796212756,0.06571276321267143,0.06897063021625767,0.0607319248825181,0.03282986115865341,0.02928276144324551
CURVE_SWAP_VOLUME,0.06966476827136453,0.007121436288550299,0.002089260727202484,0.8415239726464631,0.15114202447810343,0.08766285991833624,0.3514099162843022,1.0,0.6021458463065442,0.06958628552241858,0.025109200021017845,0.016604337044492986,0.005266266837596135,0.012737170893504393,0.0050466109802478195,0.011090958014493082,0.00036604266992515665,0.0069760414078905335,0.0014229121360364507,0.008781499318420833,0.005718063229822339,0.3110115172196819,0.3629292460746353,0.06721633922615179,0.11937436087182383,0.16044992584182347,0.13163574085940719,0.07331713372304022,0.020945401602551407
OTHER_SWAP_VOLUME,0.03295027522798298,0.016727638625340737,0.006940586593400701,0.8445756702332863,0.05117317270780426,0.02604922395097834,0.5570501959527895,0.6021458463065442,1.0,0.12894517901214103,0.2820388330816266,0.0320629283381498,0.010708284263932546,0.03179647026376421,0.09527140259815864,0.018644263956499246,0.04177275224989704,0.013735821804806087,0.012677101747939476,0.021247323730004656,0.09637758004214375,0.22844891445265403,0.22380909547474526,0.08011686678030532,0.13411392261987937,0.18722489189756839,0.15627473418315257,0.08733996490471947,0.03949719485273244
SWAP_DAYS_ACTIVE,0.032779980856889046,0.3706423338061069,0.04793405476573855,0.1272183009212378,0.0125057493779256,0.0005399078123848549,0.12731380410401089,0.06958628552241858,0.12894517901214103,1.0,0.16255899045971378,0.4430206222162918,0.015309661347336844,0.40495973355810916,0.09361913512853491,0.3076143113295873,0.03169825093797771,0.24986699439966234,0.0339413741914303,0.3971340203494999,0.1340660278630058,0.04887599660030075,0.03480499661621351,0.06549619261366983,0.046301122078725235,0.05171433301523077,0.04226557397059281,0.036685600467464094,0.4394746919987209
SWAP_TX_COUNT,0.005131507580222192,0.030765044452472873,0.08113140795197878,0.20358048724640457,0.001332721173176722,0.00018000947778710544,0.25478457159249013,0.025109200021017845,0.2820388330816266,0.16255899045971378,1.0,0.0343376056273949,0.009075354460446347,0.03627096684285426,0.29114842785529144,0.026850082682844004,0.47051695317825476,0.021917234461401588,0.297278504482501,0.03591983257270724,0.5640838400882057,0.019458717049896712,0.010292523336020286,0.019356959610682838,0.016378125302316183,0.014605840408869327,0.025214480427316124,0.029163406689020253,0.045763625555840355
ETH_AGE_DAY,0.01779615001970289,0.46760476119666455,0.02574951593854979,0.033911745983474545,0.020845154576545916,0.008747723794825817,0.03817478784839863,0.016604337044492986,0.0320629283381498,0.4430206222162918,0.0343376056273949,1.0,0.0173821998533075,0.36138177011491157,0.02087419175563494,0.36505154839834925,0.006592190737313443,0.3041722547254756,0.009482027083081093,0.4451660318308608,0.0326681320829173,0.014246064600004646,0.012587263495835098,0.015279551232565965,0.01186334574115152,0.011057167816560994,0.007185628710445245,0.010561320854019432,0.26295198861246327
ETH_TX_COUNT,0.004527711420005296,0.0007909028284775368,0.1892297241478333,0.013745178768333222,0.0005045682315196515,3.9610930624289255e-05,0.019084928355136564,0.005266266837596135,0.010708284263932546,0.015309661347336844,0.009075354460446347,0.0173821998533075,1.0,0.0017576932839757206,0.053182823778307985,0.002807975498764172,0.017200249412942088,0.0020677202085939523,0.03387567057596421,0.0006600207727364813,0.04225438531276201,0.002323892847989231,0.00251592788063533,0.00220867238153888,0.0013640643578119794,0.001252319941558439,0.0009090075281106442,0.0008193352252447505,0.0027133569539029277
AVALANCHE_AGE_DAY,0.008114588114177694,0.42624777686136367,0.030088082045664134,0.02542261309462368,0.005183754983948356,-0.002373854867803798,0.022288402157118425,0.012737170893504393,0.03179647026376421,0.40495973355810916,0.03627096684285426,0.36138177011491157,0.0017576932839757206,1.0,0.05629450135562694,0.19417439424258917,0.007054507158002454,0.1825223804199756,0.011712184409189282,0.3841819622909121,0.03291628320448421,0.01974996417554737,0.01316519545476681,0.019735564680776033,0.017055350905991255,0.023875629186531147,0.018183234595726523,0.017205772409424128,0.31548064154023425
AVALANCHE_TX_COUNT,0.0013252777423699918,0.02690744046592881,0.4483717594690227,0.055499339065610685,0.00046364188829678063,-0.0002554275615948778,0.05760847130722481,0.0050466109802478195,0.09527140259815864,0.09361913512853491,0.29114842785529144,0.02087419175563494,0.053182823778307985,0.05629450135562694,1.0,0.008396253703679222,0.7090567537384804,0.009935161111721172,0.7295714544332412,0.020295948421099462,0.6202594455055158,0.011161532937178113,0.0063048821329741,0.010974778213593033,0.00787583618690892,0.01746131613692227,0.014293352777276086,0.007892561350901946,0.027968776309003577
OPTIMISM_AGE_DAY,0.025149330143332534,0.2341881825056194,0.010496685651577685,0.019067803088015603,-0.003017291474550347,-0.006249165190226626,0.018769182806606895,0.011090958014493082,0.018644263956499246,0.3076143113295873,0.026850082682844004,0.36505154839834925,0.002807975498764172,0.19417439424258917,0.008396253703679222,1.0,0.02561095141326917,0.6103577817357213,0.02441661266049301,0.35095151345555614,0.026717813762123947,0.013138866645898658,0.008656754082593034,0.03912588774761293,0.017343136529084504,0.010344972749301478,0.008077680562876072,0.01228543975097953,0.3962562081376492
OPTIMISM_TX_COUNT,0.010753459810580634,0.006811218869214869,0.2225801577399506,0.020578812865833136,-0.0002944025802552498,-0.00027020403695036455,0.01831270314336227,0.00036604266992515665,0.04177275224989704,0.03169825093797771,0.47051695317825476,0.006592190737313443,0.017200249412942088,0.007054507158002454,0.7090567537384804,0.02561095141326917,1.0,0.019910922675196112,0.8750705191520644,0.007115555135078133,0.5805143981783426,0.0026073626339150942,0.0011841110683633675,0.016571957120426556,0.004388355349860919,0.0014887754624610362,0.002106849776964412,0.0023286900808094637,0.022862563110265643
ARBITRUM_AGE_DAY,0.02086350039936279,0.19950981356334582,0.010125402065513565,0.012828412847982902,-0.002318183402455157,-0.004217079817815325,0.012326289657452128,0.0069760414078905335,0.013735821804806087,0.24986699439966234,0.021917234461401588,0.3041722547254756,0.0020677202085939523,0.1825223804199756,0.009935161111721172,0.6103577817357213,0.019910922675196112,1.0,0.03214295797140717,0.2824969887945681,0.02279204549674543,0.013395082261626251,0.008128098648636086,0.02808336857504763,0.028888868288153808,0.011937471324615073,0.007973846101603834,0.011874494555514151,0.39246129750730707
ARBITRUM_TX_COUNT,0.015522238440080813,0.010143557211211665,0.322533405575942,0.007798884878611413,-0.00018441011870924245,-0.0002093421505133385,0.007737488521371947,0.0014229121360364507,0.012677101747939476,0.0339413741914303,0.297278504482501,0.009482027083081093,0.03387567057596421,0.011712184409189282,0.7295714544332412,0.02441661266049301,0.8750705191520644,0.03214295797140717,1.0,0.01065197470141436,0.6256467694736957,0.0043044676819156795,0.0023348088173269148,0.014057390629577473,0.008443444458128599,0.002623689383282662,0.004316999558290783,0.0035821094943267024,0.029573725453710255
POLYGON_AGE_DAY,0.01223909709740063,0.5656696109515088,0.030895819203394757,0.0177420353825873,-0.007727219121744969,-0.010821977123859797,0.0164156009812027,0.008781499318420833,0.021247323730004656,0.3971340203494999,0.03591983257270724,0.4451660318308608,0.0006600207727364813,0.3841819622909121,0.020295948421099462,0.35095151345555614,0.007115555135078133,0.2824969887945681,0.01065197470141436,1.0,0.0582899580860209,0.011327165324243714,0.007154257865541712,0.01219963482478448,0.007287576477484163,0.012054786169157278,0.008720323315351898,0.015741672384241737,0.30948337071191995
POLYGON_TX_COUNT,0.005828191447462374,0.04046128821204151,0.3717731731303003,0.048629847164466514,-0.0005966280192249702,-0.0007024643203328919,0.0389237890879221,0.005718063229822339,0.09637758004214375,0.1340660278630058,0.5640838400882057,0.0326681320829173,0.04225438531276201,0.03291628320448421,0.6202594455055158,0.026717813762123947,0.5805143981783426,0.02279204549674543,0.6256467694736957,0.0582899580860209,1.0,0.012433186624026643,0.004339433110625864,0.01506608916945095,0.01003107069179612,0.006740828277550293,0.019955954447646498,0.026252700360733502,0.045595875209713185
TOTAL_AMOUNT_USD_BRIDGED,0.1671380438387633,0.01246276510844959,0.004939999616030842,0.2747834305673235,0.1324971576658977,0.07851056236617564,0.10993832628942651,0.3110115172196819,0.22844891445265403,0.04887599660030075,0.019458717049896712,0.014246064600004646,0.002323892847989231,0.01974996417554737,0.011161532937178113,0.013138866645898658,0.0026073626339150942,0.013395082261626251,0.0043044676819156795,0.011327165324243714,0.012433186624026643,1.0,0.9269928955364988,0.3961539191490318,0.708243463355167,0.6405797304259326,0.6282921600425324,0.7566304964811447,0.03904611699373265
ETH_AMOUNT_USD_BRIDGED,0.1723513932491548,0.008266983581200735,0.002492782543816931,0.3030581895492768,0.1733713233127635,0.1013987054938178,0.11766103559450468,0.3629292460746353,0.22380909547474526,0.03480499661621351,0.010292523336020286,0.012587263495835098,0.00251592788063533,0.01316519545476681,0.0063048821329741,0.008656754082593034,0.0011841110683633675,0.008128098648636086,0.0023348088173269148,0.007154257865541712,0.004339433110625864,0.9269928955364988,1.0,0.2265797328974609,0.5109542116113625,0.45124153676818674,0.36941775885013334,0.5383073885928984,0.02454485027271944
OPTIMISM_AMOUNT_USD_BRIDGED,0.21355331716072126,0.010123859185940989,0.007316071187367204,0.07343991276506971,0.024870162121039707,0.010782785093078921,0.034878143796212756,0.06721633922615179,0.08011686678030532,0.06549619261366983,0.019356959610682838,0.015279551232565965,0.00220867238153888,0.019735564680776033,0.010974778213593033,0.03912588774761293,0.016571957120426556,0.02808336857504763,0.014057390629577473,0.01219963482478448,0.01506608916945095,0.3961539191490318,0.2265797328974609,1.0,0.5355391493222077,0.39059025261616304,0.3495620125872949,0.37507079220953565,0.0767333017179668
ARBITRUM_AMOUNT_USD_BRIDGED,0.08320208497719221,0.007303972413143998,0.004659974291939064,0.12941216299334304,0.024718391111439846,0.011900702164670575,0.06571276321267143,0.11937436087182383,0.13411392261987937,0.046301122078725235,0.016378125302316183,0.01186334574115152,0.0013640643578119794,0.017055350905991255,0.00787583618690892,0.017343136529084504,0.004388355349860919,0.028888868288153808,0.008443444458128599,0.007287576477484163,0.01003107069179612,0.708243463355167,0.5109542116113625,0.5355391493222077,1.0,0.4819817239686111,0.5252257283640224,0.7639712736301364,0.052651477187133325
AVALANCHE_AMOUNT_USD_BRIDGED,0.04491561003316877,0.01268516864035841,0.004863635772263592,0.16827852011086203,0.024700189041436543,0.012396380474953972,0.06897063021625767,0.16044992584182347,0.18722489189756839,0.05171433301523077,0.014605840408869327,0.011057167816560994,0.001252319941558439,0.023875629186531147,0.01746131613692227,0.010344972749301478,0.0014887754624610362,0.011937471324615073,0.002623689383282662,0.012054786169157278,0.006740828277550293,0.6405797304259326,0.45124153676818674,0.39059025261616304,0.4819817239686111,1.0,0.47963218557848997,0.455047654850039,0.03724373223392615
BSC_AMOUNT_USD_BRIDGED,0.11285174562227007,0.014911462892295052,0.008273932446052871,0.140566546437366,0.04618010368585009,0.03835747846978888,0.0607319248825181,0.13163574085940719,0.15627473418315257,0.04226557397059281,0.025214480427316124,0.007185628710445245,0.0009090075281106442,0.018183234595726523,0.014293352777276086,0.008077680562876072,0.002106849776964412,0.007973846101603834,0.004316999558290783,0.008720323315351898,0.019955954447646498,0.6282921600425324,0.36941775885013334,0.3495620125872949,0.5252257283640224,0.47963218557848997,1.0,0.6486326034892353,0.03636348906379697
POLYGON_AMOUNT_USD_BRIDGED,0.0825536577435551,0.011792622293863143,0.004228825912097904,0.07798162654334401,0.012347477122151722,0.006026374379850871,0.03282986115865341,0.07331713372304022,0.08733996490471947,0.036685600467464094,0.029163406689020253,0.010561320854019432,0.0008193352252447505,0.017205772409424128,0.007892561350901946,0.01228543975097953,0.0023286900808094637,0.011874494555514151,0.0035821094943267024,0.015741672384241737,0.026252700360733502,0.7566304964811447,0.5383073885928984,0.37507079220953565,0.7639712736301364,0.455047654850039,0.6486326034892353,1.0,0.03150027345147264
BRIDGES_USED,0.03819619839215013,0.2884815929635028,0.021999744695956815,0.034849681693673126,0.007235226138906244,-0.00010227985781838337,0.02928276144324551,0.020945401602551407,0.03949719485273244,0.4394746919987209,0.045763625555840355,0.26295198861246327,0.0027133569539029277,0.31548064154023425,0.027968776309003577,0.3962562081376492,0.022862563110265643,0.39246129750730707,0.029573725453710255,0.30948337071191995,0.045595875209713185,0.03904611699373265,0.02454485027271944,0.0767333017179668,0.052651477187133325,0.03724373223392615,0.03636348906379697,0.03150027345147264,1.0
